edge_index,tie
788.0,-0.4936035492636106
788.0,-0.06848960040147956
788.0,0.47694390533986136
789.0,-0.04057113522797411
789.0,0.4197687534286055
790.0,0.47218088259849755
793.0,0.05893036067338344
793.0,0.46583626453539434
794.0,-0.018972275050323978
796.0,0.03252555386089866
798.0,-0.4673378916282159
799.0,0.11027963886401783
799.0,0.49079442602382506
801.0,-0.38580362879036434
801.0,-0.003728986107614721
802.0,0.07184801639167948
803.0,0.10868063244917667
804.0,-0.4568910955787351
805.0,-0.35472079974315657
805.0,0.09182733050782083
806.0,-0.3882801799247116
806.0,0.0572015199796998
807.0,0.1518834026879717
808.0,-0.4522215878371527
810.0,-0.2743962930832322
810.0,0.04965191685904049
811.0,0.1481947132027358
813.0,-0.34992488469218025
814.0,-0.29618860652705215
814.0,0.14841176139436227
815.0,-0.3564857559809519
816.0,-0.27875943935342967
816.0,0.17634951612320365
817.0,-0.3363225450644696
818.0,0.2624571072830626
819.0,-0.3595353844878626
820.0,0.238041057433025
821.0,0.21485398876255482
822.0,0.2335683915091179
823.0,0.2878052699323118
824.0,-0.25556478207368233
824.0,0.2516399258491923
825.0,-0.24885717486137
825.0,0.26526550863322707
826.0,-0.21673488942638133
826.0,0.2253628385404558
830.0,-0.16253385335490592
833.0,-0.10207875960134018
833.0,0.24441370225812442
836.0,-0.12492872996544217
837.0,-0.16780272098399818
839.0,-0.04911822441631629
839.0,0.34772702963486807
840.0,-0.0769249908180395
840.0,0.33528132552246426
842.0,-0.07795000102233889
844.0,-0.08475777480504033
845.0,-0.05341642142958374
845.0,0.3775331172569122
847.0,-0.0027875313869614067
847.0,0.40587292592114854
848.0,-0.08118395522165972
849.0,-0.04843025618640114
850.0,-0.048852748877842016
852.0,-0.4653753557808397
852.0,-0.040261406918708664
853.0,-0.49482790117746145
853.0,-0.01234294174520323
853.0,0.44799694691137637
854.0,0.5004090760812684
857.0,0.08715855415615432
857.0,0.49406445801816523
858.0,0.009255918432313456
860.0,0.06075374734366954
862.0,-0.439109698145445
863.0,0.1385078323467887
864.0,-0.4809773804933643
865.0,-0.35757543530759345
865.0,0.02449920737515616
866.0,0.10007620987445036
867.0,0.13690882593194756
868.0,-0.42866290209609764
869.0,-0.3264926062603857
869.0,0.1200555239905917
870.0,-0.3600519864419407
870.0,0.08542971346247069
871.0,0.1801115961707426
872.0,-0.4239933943543818
874.0,-0.24616809960046135
874.0,0.07788011034181137
875.0,0.1764229066855067
877.0,-0.32169669120940936
878.0,-0.2679604130444147
878.0,0.17663995487699968
879.0,-0.328257562498181
880.0,-0.2505312458706588
880.0,0.20457770960597452
881.0,-0.30809435158169873
882.0,0.2906853007658335
883.0,-0.3313071910050917
884.0,0.2662692509157959
885.0,0.2430821822453257
886.0,0.2617965849918888
887.0,0.3160334634150827
888.0,-0.22733658859091146
888.0,0.2798681193319632
889.0,-0.2206289813785991
889.0,0.29349370211599796
890.0,-0.18850669594361044
890.0,0.2535910320232267
894.0,-0.13430565987213502
897.0,-0.0738505661185693
897.0,0.2726418957408953
900.0,-0.0967005364826713
901.0,-0.1395745275012273
903.0,-0.020890030933545405
903.0,0.37595522311763896
904.0,-0.04869679733526861
904.0,0.36350951900523515
906.0,-0.04972180753956801
908.0,-0.05652958132226946
909.0,-0.02518822794681286
909.0,0.4057613107396831
911.0,0.025440662095809478
911.0,0.43410111940391943
912.0,-0.05295576173888884
913.0,-0.02020206270363026
914.0,-0.02062455539507113
916.0,-0.4371471622980688
916.0,-0.012033213435937783
917.0,-0.46659970769469056
917.0,0.015885251737567652
917.0,0.47622514039414726
919.0,-0.4713627304360544
921.0,0.1153867476389252
922.0,-0.4777073484991576
922.0,0.03748411191508434
924.0,0.08898194082644043
926.0,-0.4108815046626741
927.0,0.1667360258295596
928.0,-0.4527491870105934
929.0,-0.32934724182482256
929.0,0.05272740085792704
930.0,0.12830440335722124
931.0,0.16513701941471845
932.0,-0.40043470861332675
933.0,-0.2982644127776148
933.0,0.14828371747336258
934.0,-0.3318237929591698
934.0,0.11365790694524157
935.0,0.2083397896535135
936.0,-0.39576520087161093
938.0,-0.21793990611769046
938.0,0.10610830382458225
939.0,0.2046511001682776
941.0,-0.29346849772663847
