Edge_Index,TIE_Seconds,Bit,Bit_Prev_1,Bit_Prev_2,Bit_Prev_3,Bit_Prev_4,Bit_Prev_5
359,-9.079482720010178e-11,1,1,0,0,1,0
359,-1.7320009288281224e-10,1,1,0,0,1,0
360,-1.5239356444915017e-10,0,1,1,0,0,1
361,-1.8040428766734938e-10,1,0,1,1,0,0
362,-2.9317275701888137e-10,0,1,0,1,1,0
363,-1.6274515929115396e-10,1,0,1,0,1,1
366,3.100751678091235e-10,0,1,1,1,0,1
367,2.0462152197615853e-10,0,0,1,1,1,0
367,8.071862908891377e-11,0,0,1,1,1,0
368,3.859244664255384e-12,1,0,0,1,1,1
370,1.2582123596235553e-10,0,1,1,0,0,1
370,-3.897283305592287e-11,0,1,1,0,0,1
370,-1.7849994461596358e-10,0,1,1,0,0,1
371,-2.48991342349331e-10,1,0,1,1,0,0
373,-4.442731515324626e-11,0,1,1,0,1,1
375,2.1994271146465861e-10,0,0,0,1,1,0
375,2.445169881759271e-11,0,0,0,1,1,0
377,2.1265354423555515e-10,1,0,0,0,0,1
378,1.4726272574251667e-10,0,1,0,0,0,0
379,2.1639237424856028e-10,0,0,1,0,0,0
379,8.701877694977416e-11,0,0,1,0,0,0
380,-7.067800515266099e-11,1,0,0,1,0,0
381,-9.079472771927173e-11,1,1,0,0,1,0
381,-1.731999934019822e-10,1,1,0,0,1,0
382,-1.5239346496833336e-10,0,1,1,0,0,1
383,-1.8040418818653257e-10,1,0,1,1,0,0
384,-2.9317265753806456e-10,0,1,0,1,1,0
385,-1.6274505981033715e-10,1,0,1,0,1,1
388,3.100752672899403e-10,0,1,1,1,0,1
389,2.0462162145697535e-10,0,0,1,1,1,0
389,8.071872856973058e-11,0,0,1,1,1,0
390,3.8593441450721955e-12,1,0,0,1,1,1
392,1.2582133544318557e-10,0,1,1,0,0,1
392,-3.897273357510606e-11,0,1,1,0,0,1
392,-1.7849984513514677e-10,0,1,1,0,0,1
393,-2.4899124286851417e-10,1,0,1,1,0,0
395,-4.442721567242945e-11,0,1,1,0,1,1
397,2.1994281094547543e-10,0,0,0,1,1,0
397,2.445179829840952e-11,0,0,0,1,1,0
399,2.1265364371637196e-10,1,0,0,0,0,1
400,1.4726282522334671e-10,0,1,0,0,0,0
401,2.163924737293771e-10,0,0,1,0,0,0
401,8.701887643059097e-11,0,0,1,0,0,0
402,-7.067790567184418e-11,1,0,0,1,0,0
403,-9.079462823845492e-11,1,1,0,0,1,0
403,-1.7319989392116538e-10,1,1,0,0,1,0
404,-1.5239336548751655e-10,0,1,1,0,0,1
405,-1.8040408870570252e-10,1,0,1,1,0,0
406,-2.9317255805724775e-10,0,1,0,1,1,0
407,-1.6274496032952034e-10,1,0,1,0,1,1
410,3.1007536677077036e-10,0,1,1,1,0,1
411,2.046217209378054e-10,0,0,1,1,1,0
411,8.07188280505474e-11,0,0,1,1,1,0
412,3.859443625889007e-12,1,0,0,1,1,1
414,1.2582143492400239e-10,0,1,1,0,0,1
414,-3.8972634094276014e-11,0,1,1,0,0,1
414,-1.7849974565432996e-10,0,1,1,0,0,1
415,-2.4899114338769736e-10,1,0,1,1,0,0
417,-4.442711619161264e-11,0,1,1,0,1,1
419,2.1994291042629224e-10,0,0,0,1,1,0
419,2.4451897779226332e-11,0,0,0,1,1,0
421,2.1265374319718877e-10,1,0,0,0,0,1
422,1.4726292470416353e-10,0,1,0,0,0,0
423,2.163925732101939e-10,0,0,1,0,0,0
423,8.701897591140778e-11,0,0,1,0,0,0
424,-7.067780619101413e-11,1,0,0,1,0,0
425,-9.079452875763811e-11,1,1,0,0,1,0
425,-1.7319979444034857e-10,1,1,0,0,1,0
426,-1.5239326600669974e-10,0,1,1,0,0,1
427,-1.804039892248857e-10,1,0,1,1,0,0
428,-2.931724585764177e-10,0,1,0,1,1,0
429,-1.627448608486903e-10,1,0,1,0,1,1
432,3.100754662515872e-10,0,1,1,1,0,1
433,2.046218204186222e-10,0,0,1,1,1,0
433,8.07189275313642e-11,0,0,1,1,1,0
434,3.859543106705819e-12,1,0,0,1,1,1
436,1.258215344048192e-10,0,1,1,0,0,1
436,-3.89725346134592e-11,0,1,1,0,0,1
436,-1.784996461734999e-10,0,1,1,0,0,1
437,-2.4899104390688055e-10,1,0,1,1,0,0
439,-4.442701671079583e-11,0,1,1,0,1,1
441,2.1994300990712228e-10,0,0,0,1,1,0
441,2.4451997260043144e-11,0,0,0,1,1,0
443,2.1265384267800559e-10,1,0,0,0,0,1
444,1.4726302418498034e-10,0,1,0,0,0,0
445,2.1639267269101072e-10,0,0,1,0,0,0
445,8.701907539223783e-11,0,0,1,0,0,0
446,-7.067770671019732e-11,1,0,0,1,0,0
447,-9.07944292768213e-11,1,1,0,0,1,0
447,-1.7319969495953176e-10,1,1,0,0,1,0
448,-1.5239316652588293e-10,0,1,1,0,0,1
449,-1.804038897440689e-10,1,0,1,1,0,0
450,-2.9317235909558765e-10,0,1,0,1,1,0
451,-1.6274476136787348e-10,1,0,1,0,1,1
454,3.10075565732404e-10,0,1,1,1,0,1
455,2.0462191989945225e-10,0,0,1,1,1,0
455,8.071902701218102e-11,0,0,1,1,1,0
456,3.8596425875226305e-12,1,0,0,1,1,1
458,1.2582163388564924e-10,0,1,1,0,0,1
458,-3.897243513264239e-11,0,1,1,0,0,1
458,-1.7849954669266987e-10,0,1,1,0,0,1
459,-2.4899094442606374e-10,1,0,1,1,0,0
461,-4.442691722996578e-11,0,1,1,0,1,1
463,2.199431093879391e-10,0,0,0,1,1,0
463,2.445209674087319e-11,0,0,0,1,1,0
465,2.126539421588224e-10,1,0,0,0,0,1
466,1.4726312366581038e-10,0,1,0,0,0,0
467,2.1639277217184076e-10,0,0,1,0,0,0
467,8.701917487305464e-11,0,0,1,0,0,0
468,-7.067760722938051e-11,1,0,0,1,0,0
469,-9.079432979600449e-11,1,1,0,0,1,0
469,-1.731995954787017e-10,1,1,0,0,1,0
470,-1.5239306704505288e-10,0,1,1,0,0,1
471,-1.8040379026325209e-10,1,0,1,1,0,0
472,-2.9317225961477084e-10,0,1,0,1,1,0
473,-1.6274466188705667e-10,1,0,1,0,1,1
476,3.100756652132208e-10,0,1,1,1,0,1
477,2.0462201938026906e-10,0,0,1,1,1,0
477,8.071912649299783e-11,0,0,1,1,1,0
478,3.859742068352677e-12,1,0,0,1,1,1
480,1.2582173336646606e-10,0,1,1,0,0,1
480,-3.897233565182558e-11,0,1,1,0,0,1
480,-1.7849944721185305e-10,0,1,1,0,0,1
481,-2.489908449452337e-10,1,0,1,1,0,0
483,-4.442681774914897e-11,0,1,1,0,1,1
485,2.199432088687559e-10,0,0,0,1,1,0
485,2.4452196221690002e-11,0,0,0,1,1,0
487,2.1265404163965244e-10,1,0,0,0,0,1
488,1.472632231466272e-10,0,1,0,0,0,0
489,2.1639287165265757e-10,0,0,1,0,0,0
489,8.701927435388469e-11,0,0,1,0,0,0
490,-7.06775077485637e-11,1,0,0,1,0,0
491,-9.079423031518768e-11,1,1,0,0,1,0
491,-1.731994959978849e-10,1,1,0,0,1,0
492,-1.5239296756423607e-10,0,1,1,0,0,1
493,-1.8040369078243528e-10,1,0,1,1,0,0
494,-2.9317216013395403e-10,0,1,0,1,1,0
495,-1.6274456240623986e-10,1,0,1,0,1,1
498,3.100757646940376e-10,0,1,1,1,0,1
499,2.0462211886108587e-10,0,0,1,1,1,0
499,8.071922597382788e-11,0,0,1,1,1,0
500,3.859841549182724e-12,1,0,0,1,1,1
502,1.2582183284728287e-10,0,1,1,0,0,1
502,-3.897223617100877e-11,0,1,1,0,0,1
502,-1.7849934773103624e-10,0,1,1,0,0,1
503,-2.489907454644169e-10,1,0,1,1,0,0
505,-4.442671826833216e-11,0,1,1,0,1,1
507,2.1994330834958595e-10,0,0,0,1,1,0
507,2.4452295702506814e-11,0,0,0,1,1,0
509,2.126541411204825e-10,1,0,0,0,0,1
510,1.47263322627444e-10,0,1,0,0,0,0
511,2.1639297113347439e-10,0,0,1,0,0,0
511,8.70193738347015e-11,0,0,1,0,0,0
512,-7.067740826774689e-11,1,0,0,1,0,0
513,-9.079413083435763e-11,1,1,0,0,1,0
513,-1.7319939651705485e-10,1,1,0,0,1,0
514,-1.5239286808341926e-10,0,1,1,0,0,1
515,-1.8040359130161846e-10,1,0,1,1,0,0
516,-2.931720606531372e-10,0,1,0,1,1,0
517,-1.6274446292542305e-10,1,0,1,0,1,1
520,3.1007586417486766e-10,0,1,1,1,0,1
521,2.0462221834190269e-10,0,0,1,1,1,0
